,id,listing_url,last_scraped,host_location,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,bathrooms_number,bathrooms_type,listing_duration,hosting_duration,price_per_person,is_local_host,total_unique_reviews,unique_review_rate,lat_name,lng_name,lat_lng_name,covid_case_rate,lat_long_id,total_crime_per_day
0,2595,https://www.airbnb.com/rooms/2595,2020-09-08 00:00:00,"New York, New York, United States",2008-09-09 00:00:00,within a day,0.83,0.24,f,Midtown,6,6,t,t,Midtown,Manhattan,40.75362,-73.98377,Entire apartment,Entire home/apt,2,1 bath,,1,175,3,1125,3,3,1125,1125,3,1125,t,30,60,90,365,48,1,0,2009-11-21 00:00:00,2019-11-04 00:00:00,94,9,9,10,10,10,9,f,2,2,0,0,0.37,1,undefined,3635,4073,87.5,t,5,0.104166667,6,6,6-6,25265.89,5-6,0.471940997
1,3831,https://www.airbnb.com/rooms/3831,2020-09-08 00:00:00,"New York, New York, United States",2008-12-07 00:00:00,within an hour,0.94,0.96,f,Clinton Hill,1,1,t,t,Clinton Hill,Brooklyn,40.68514,-73.95976,Entire guest suite,Entire home/apt,3,1 bath,1,3,76,1,730,1,1,1125,1125,1,1125,t,13,30,51,272,349,69,8,2014-09-30 00:00:00,2020-08-23 00:00:00,89,8,9,9,9,9,9,f,1,1,0,0,4.82,1,undefined,2154,4277,25.33333333,t,7,0.020057307,4,6,4-6,12549.77,4-6,0.244448073
2,5178,https://www.airbnb.com/rooms/5178,2020-09-08 00:00:00,"New York, New York, United States",2009-03-03 00:00:00,within a few hours,1,1,f,Hell's Kitchen,1,1,t,f,Hell's Kitchen,Manhattan,40.76489,-73.98493,Private room in apartment,Private room,2,1 bath,1,1,79,2,14,2,2,14,14,2,14,t,25,55,79,346,473,29,0,2009-05-06 00:00:00,2020-03-15 00:00:00,84,9,7,9,9,10,9,f,1,0,1,0,3.42,1,undefined,3966,4030,39.5,t,4,0.00845666,6,6,6-6,25265.89,6-6,0.26869693
3,5803,https://www.airbnb.com/rooms/5803,2020-09-09 00:00:00,"New York, New York, United States",2009-03-10 00:00:00,within a few hours,1,0.98,t,Park Slope,3,3,t,t,South Slope,Brooklyn,40.66829,-73.98779,Private room in townhouse,Private room,2,1.5 baths,1,0,86,4,20,4,4,20,20,4,20,t,30,60,90,365,180,9,0,2009-04-23 00:00:00,2020-03-18 00:00:00,94,10,10,10,10,10,10,f,3,1,2,0,1.3,1.5,undefined,3982,4026,43,t,7,0.038888889,4,6,4-6,12549.77,4-6,0.244448073
4,6990,https://www.airbnb.com/rooms/6990,2020-09-09 00:00:00,"New York, New York, United States",2009-05-12 00:00:00,within an hour,1,0.96,t,East Harlem,3,3,t,t,East Harlem,Manhattan,40.78962,-73.94802,Entire apartment,Entire home/apt,2,1 bath,1,1,239.29,4,700,4,4,1125,1125,4,1125,t,30,60,90,365,233,2,0,2009-10-28 00:00:00,2019-12-09 00:00:00,98,10,10,10,10,10,10,t,1,1,0,0,1.76,1,undefined,3694,3863,119.645,t,30,0.128755365,6,7,6-7,20558.47,6-7,0.307233834
5,8490,https://www.airbnb.com/rooms/8490,2020-09-08 00:00:00,"New York, New York, United States",2009-07-10 00:00:00,within an hour,0.92,0.97,f,Bedford-Stuyvesant,2,2,t,t,Bedford-Stuyvesant,Brooklyn,40.68371,-73.94028,Entire loft,Entire home/apt,5,1 bath,1,4,120,2,1125,2,2,1125,1125,2,1125,t,20,37,67,331,115,19,1,2009-08-25 00:00:00,2020-08-13 00:00:00,95,10,9,10,10,9,9,f,2,2,0,0,0.86,1,undefined,4006,4052,24,t,4,0.034782609,4,7,4-7,19004.67,4-7,0.476812541
6,10962,https://www.airbnb.com/rooms/10962,2020-09-09 00:00:00,"New York, New York, United States",2009-03-10 00:00:00,within a few hours,1,0.98,t,Park Slope,3,3,t,t,South Slope,Brooklyn,40.66869,-73.9878,Private room in townhouse,Private room,2,1 shared bath,1,0,86,4,30,4,4,30,30,4,30,t,30,60,90,365,181,8,1,2009-09-27 00:00:00,2020-09-04 00:00:00,95,10,9,10,10,10,10,f,3,1,2,0,1.36,1,shared,3995,4196,43,t,7,0.038674033,4,6,4-6,12549.77,4-6,0.244448073
7,12937,https://www.airbnb.com/rooms/12937,2020-09-09 00:00:00,"New York, New York, United States",2009-10-31 00:00:00,within a day,1,0.91,t,Long Island City,1,1,t,f,Long Island City,Queens,40.74771,-73.9474,Private room in townhouse,Private room,4,1 private bath,1,2,130,2,20,2,2,20,20,2,20,t,22,46,70,246,280,22,0,2010-06-13 00:00:00,2020-03-15 00:00:00,98,10,10,10,10,10,10,f,1,0,1,0,2.24,1,private,3563,3788,32.5,t,13,0.046428571,5,7,5-7,6381.48,5-7,0.131014587
8,13677,https://www.airbnb.com/rooms/13677,2020-09-08 00:00:00,"Brooklyn, New York, United States",2009-11-12 00:00:00,within a day,0.64,0.89,f,Chelsea,2,2,t,t,Chelsea,Manhattan,40.74395,-73.99451,Private room in apartment,Private room,1,,1,1,150,2,365,2,2,365,365,2,365,t,30,60,90,365,69,0,0,2010-10-12 00:00:00,2014-01-06 00:00:00,97,10,10,10,10,10,10,f,3,2,1,0,0.57,,undefined,1182,1516,150,t,7,0.101449275,5,6,5-6,17175.14,5-6,0.471940997
9,13808,https://www.airbnb.com/rooms/13808,2020-09-08 00:00:00,"New York, New York, United States",2009-11-14 00:00:00,within a day,1,0.96,f,Stuyvesant Heights,3,3,t,t,Bedford-Stuyvesant,Brooklyn,40.68064,-73.94039,Private room in townhouse,Private room,2,1 private bath,1,1,81,2,1125,2,2,1125,1125,2,1125,t,20,50,80,348,141,20,0,2010-06-06 00:00:00,2020-07-12 00:00:00,93,10,9,10,10,9,9,f,3,0,3,0,1.13,1,private,3689,3893,40.5,t,9,0.063829787,4,7,4-7,19004.67,4-7,0.476812541
10,14290,https://www.airbnb.com/rooms/14290,2020-09-08 00:00:00,"New York, New York, United States",2009-11-20 00:00:00,within a day,0.68,0.69,f,East Williamsburg,3,3,t,t,Williamsburg,Brooklyn,40.7042,-73.9356,Entire loft,Entire home/apt,2,1 bath,2,0,153,3,60,3,3,1125,1125,3,1125,t,21,51,81,171,97,13,2,2009-12-01 00:00:00,2020-08-22 00:00:00,94,10,9,10,9,10,9,f,1,1,0,0,0.74,1,undefined,3917,3928,76.5,t,5,0.051546392,4,7,4-7,19004.67,4-7,0.476812541
11,14314,https://www.airbnb.com/rooms/14314,2020-09-09 00:00:00,"New York, New York, United States",2009-11-21 00:00:00,within a few hours,0.8,0.97,t,Greenpoint,2,2,t,t,Greenpoint,Brooklyn,40.73506,-73.95392,Entire apartment,Entire home/apt,4,1 bath,1,2,150.43,2,30,2,2,30,30,2,30,t,0,0,0,0,180,47,1,2018-05-25 00:00:00,2020-08-16 00:00:00,97,10,10,10,10,10,10,f,1,1,0,0,6.44,1,undefined,814,3921,37.6075,t,7,0.038888889,5,6,5-6,17175.14,5-6,0.471940997
12,15220,https://www.airbnb.com/rooms/15220,2020-09-08 00:00:00,"New York, New York, United States",2009-12-03 00:00:00,within an hour,1,0.93,f,Hell's Kitchen,2,2,t,t,Hell's Kitchen,Manhattan,40.75531,-73.99293,Private room in apartment,Private room,1,Shared 0.5,1,1,83,2,29,2,2,1125,1125,2,1125,t,30,60,90,365,325,27,0,2010-01-02 00:00:00,2020-07-19 00:00:00,93,9,9,10,10,10,9,f,2,0,2,0,2.5,0.5,shared,3851,3881,83,t,6,0.018461538,6,6,6-6,25265.89,5-6,0.471940997
13,16326,https://www.airbnb.com/rooms/16326,2020-09-08 00:00:00,"New York, New York, United States",2009-12-16 00:00:00,within a day,0.8,0.42,t,Prospect Heights,2,2,t,t,Prospect Heights,Brooklyn,40.67811,-73.96428,Entire condominium,Entire home/apt,8,2 baths,4,4,100,30,365,5,30,365,365,9.4,365,t,7,37,67,342,150,7,0,2010-09-18 00:00:00,2020-06-27 00:00:00,99,10,10,10,10,10,10,f,2,2,0,0,1.23,2,undefined,3570,3846,12.5,t,8,0.053333333,4,6,4-6,12549.77,4-6,0.244448073
14,16580,https://www.airbnb.com/rooms/16580,2020-09-08 00:00:00,"New York, New York, United States",2009-12-19 00:00:00,within a day,0.8,0.97,t,Alphabet City,1,1,t,t,East Village,Manhattan,40.72649,-73.97904,Private room in condominium,Private room,2,1 shared bath,1,1,65,2,60,2,2,1125,1125,2,1125,t,19,48,75,165,407,47,1,2013-08-22 00:00:00,2020-08-09 00:00:00,95,10,10,10,9,10,10,f,1,0,1,0,4.74,1,shared,2544,3886,32.5,t,4,0.00982801,5,6,5-6,17175.14,5-6,0.471940997
15,16595,https://www.airbnb.com/rooms/16595,2020-09-08 00:00:00,"New York, New York, United States",2009-12-20 00:00:00,within an hour,1,0.88,f,Williamsburg,1,1,t,t,Williamsburg,Brooklyn,40.70933,-73.96792,Entire loft,Entire home/apt,3,1 bath,1,2,199,1,2,1,1,1125,1125,1,1125,t,28,58,88,363,174,20,2,2010-10-26 00:00:00,2020-08-18 00:00:00,94,10,10,10,10,10,9,f,1,1,0,0,1.45,1,undefined,3584,3894,66.33333333,t,8,0.045977011,5,6,5-6,17175.14,5-6,0.471940997
16,17037,https://www.airbnb.com/rooms/17037,2020-09-08 00:00:00,"New York, New York, United States",2009-12-27 00:00:00,within a day,1,0.75,f,Alphabet City,1,1,t,t,East Village,Manhattan,40.72162,-73.98008,Entire apartment,Entire home/apt,2,1 bath,1,1,250,5,90,5,5,90,90,5,90,t,27,57,87,177,53,3,0,2010-03-31 00:00:00,2020-03-18 00:00:00,96,10,10,10,10,9,9,f,1,1,0,0,0.42,1,undefined,3640,3734,125,t,6,0.113207547,5,6,5-6,17175.14,5-6,0.471940997
17,17693,https://www.airbnb.com/rooms/17693,2020-09-08 00:00:00,"New York, New York, United States",2010-01-07 00:00:00,,,0.92,t,Washington Heights,2,2,t,t,Washington Heights,Manhattan,40.83139,-73.94095,Private room in apartment,Private room,2,1 shared bath,1,1,65,2,28,2,2,28,28,2,28,t,30,60,90,365,60,8,0,2017-01-02 00:00:00,2019-12-08 00:00:00,98,10,10,10,10,10,10,t,2,0,2,0,1.34,1,shared,1070,3622,32.5,t,4,0.066666667,7,7,7-7,34191.35,7-7,0.575685826
18,18728,https://www.airbnb.com/rooms/18728,2020-09-08 00:00:00,"New York, New York, United States",2010-01-20 00:00:00,within a few hours,1,1,t,Meatpacking District,1,1,t,t,Chelsea,Manhattan,40.74138,-74.00197,Private room in loft,Private room,3,1.5 baths,1,1,150,4,30,4,4,1125,1125,4,1125,t,26,37,64,329,184,12,0,2011-03-14 00:00:00,2020-03-09 00:00:00,99,10,10,10,10,10,10,t,1,0,1,0,1.59,1.5,undefined,3283,3701,50,t,12,0.065217391,5,5,5-5,11992.5,5-6,0.471940997
19,20611,https://www.airbnb.com/rooms/20611,2020-09-08 00:00:00,"New York, New York, United States",2010-01-20 00:00:00,a few days or more,0,1,f,Williamsburg,1,1,t,t,Williamsburg,Brooklyn,40.71156,-73.96218,Private room in apartment,Private room,2,1 shared bath,1,1,85,3,200,3,3,200,200,3,200,t,30,60,90,365,193,13,0,2010-03-21 00:00:00,2019-12-18 00:00:00,94,10,9,10,10,10,9,t,2,0,2,0,1.51,1,shared,3559,3619,42.5,t,6,0.031088083,5,6,5-6,17175.14,5-6,0.471940997
20,20913,https://www.airbnb.com/rooms/20913,2020-09-08 00:00:00,"New York, New York, United States",2010-02-09 00:00:00,,,,f,Williamsburg,1,1,t,t,Williamsburg,Brooklyn,40.70984,-73.95775,Entire apartment,Entire home/apt,2,1 bath,1,1,80,5,365,5,5,365,365,5,365,t,0,0,0,0,168,0,0,2010-09-27 00:00:00,2018-07-22 00:00:00,81,9,7,9,9,9,8,f,1,1,0,0,1.39,1,undefined,2855,3085,40,t,4,0.023809524,5,6,5-6,17175.14,5-6,0.471940997
21,23135,https://www.airbnb.com/rooms/23135,2020-09-09 00:00:00,"New York, New York, United States",2009-03-26 00:00:00,within a day,1,0.67,f,Carroll Gardens,3,3,t,t,Carroll Gardens,Brooklyn,40.67967,-74.00154,Entire apartment,Entire home/apt,3,1 bath,2,0,128,2,120,2,2,120,120,2,120,t,30,60,90,365,259,19,0,2010-05-20 00:00:00,2020-02-03 00:00:00,94,10,10,10,10,10,10,f,3,3,0,0,2.06,1,undefined,3546,3966,42.66666667,t,5,0.019305019,4,5,4-5,7690.62,4-6,0.244448073
22,23686,https://www.airbnb.com/rooms/23686,2020-09-08 00:00:00,"New York, New York, United States",2010-03-15 00:00:00,within an hour,1,0.97,f,West Village,2,2,t,t,West Village,Manhattan,40.73096,-74.00319,Entire house,Entire home/apt,5,2 baths,3,3,419,5,60,5,5,1125,1125,5,1125,t,24,54,84,264,49,3,0,2012-08-06 00:00:00,2019-12-31 00:00:00,88,9,9,9,9,10,9,f,2,1,1,0,0.5,2,undefined,2703,3578,83.8,t,11,0.224489796,5,5,5-5,11992.5,5-5,0.076284563
23,24143,https://www.airbnb.com/rooms/24143,2020-09-08 00:00:00,"Beacon, New York, United States",2010-03-22 00:00:00,within an hour,1,1,t,Williamsburg,4,4,t,t,Williamsburg,Brooklyn,40.71332,-73.94177,Private room in condominium,Private room,2,2 baths,1,1,122,3,12,3,3,12,12,3,12,t,7,37,67,67,352,12,0,2010-06-01 00:00:00,2020-03-12 00:00:00,96,10,10,10,10,10,9,f,1,0,1,0,2.81,2,undefined,3572,3643,61,t,10,0.028409091,5,7,5-7,6381.48,5-7,0.131014587
24,25696,https://www.airbnb.com/rooms/25696,2020-09-08 00:00:00,"New York, New York, United States",2010-04-12 00:00:00,,,1,f,Harlem,1,1,t,t,Harlem,Manhattan,40.8104,-73.94309,Private room in apartment,Private room,2,1 shared bath,1,1,82,1,1125,1,1,1125,1125,1,1125,t,29,59,89,364,190,12,0,2010-11-02 00:00:00,2020-01-01 00:00:00,95,10,10,10,10,10,9,f,1,0,1,0,1.58,1,shared,3347,3551,41,t,4,0.021052632,7,7,7-7,34191.35,7-7,0.575685826
25,26785,https://www.airbnb.com/rooms/26785,2020-09-09 00:00:00,"New York, New York, United States",2009-09-29 00:00:00,within an hour,1,1,t,Park Slope,2,2,t,t,South Slope,Brooklyn,40.66853,-73.98912,Entire apartment,Entire home/apt,3,1 bath,1,1,120,30,365,30,30,1125,1125,30,1125,t,0,1,18,203,470,1,0,2010-06-08 00:00:00,2020-05-01 00:00:00,99,10,10,10,10,10,10,t,2,2,0,0,3.76,1,undefined,3615,3867,40,t,18,0.038297872,4,6,4-6,12549.77,4-6,0.244448073
26,26969,https://www.airbnb.com/rooms/26969,2020-09-08 00:00:00,"New York, New York, United States",2010-04-29 00:00:00,within an hour,1,1,t,Williamsburg,1,1,t,t,Williamsburg,Brooklyn,40.71942,-73.95748,Entire house,Entire home/apt,6,1.5 baths,3,4,350,4,90,4,4,1125,1125,4,1125,t,0,7,37,91,342,9,0,2010-09-08 00:00:00,2020-01-03 00:00:00,96,10,10,10,10,10,10,t,1,1,0,0,2.81,1.5,undefined,3404,3536,58.33333333,t,19,0.055555556,5,6,5-6,17175.14,5-6,0.471940997
27,28907,https://www.airbnb.com/rooms/28907,2020-09-08 00:00:00,"New York, New York, United States",2010-05-13 00:00:00,within a day,1,0,f,Upper East Side,1,1,t,f,Upper East Side,Manhattan,40.778,-73.94822,Entire apartment,Entire home/apt,4,1 bath,1,2,150,5,30,5,5,30,30,5,30,t,0,0,0,246,21,0,0,2010-06-01 00:00:00,2017-08-15 00:00:00,99,10,10,10,10,10,10,f,1,1,0,0,0.17,1,undefined,2632,2651,37.5,t,5,0.238095238,6,7,6-7,20558.47,6-7,0.307233834
28,29455,https://www.airbnb.com/rooms/29455,2020-09-08 00:00:00,"New York, New York, United States",2010-05-17 00:00:00,within a few hours,0.55,0.92,f,Harlem,4,4,t,f,Harlem,Manhattan,40.81618,-73.94894,Entire apartment,Entire home/apt,4,1 bath,1,3,100,3,28,3,3,28,28,3,28,t,2,18,25,242,169,11,0,2010-07-16 00:00:00,2020-08-01 00:00:00,92,9,9,10,10,9,9,f,4,4,0,0,1.37,1,undefined,3669,3729,25,t,4,0.023668639,7,7,7-7,34191.35,7-7,0.575685826
29,30031,https://www.airbnb.com/rooms/30031,2020-09-08 00:00:00,"New York, New York, United States",2010-05-21 00:00:00,,,0.75,t,Greenpoint,1,1,t,t,Greenpoint,Brooklyn,40.73494,-73.9503,Private room in loft,Private room,2,2 shared baths,1,1,49,3,30,3,3,30,30,3,30,t,0,0,0,0,196,2,0,2011-01-06 00:00:00,2020-02-12 00:00:00,98,10,9,10,10,10,10,t,1,0,1,0,1.66,2,shared,3324,3554,24.5,t,22,0.112244898,5,7,5-7,6381.48,5-7,0.131014587
30,31994,https://www.airbnb.com/rooms/31994,2020-09-08 00:00:00,"New York, New York, United States",2010-06-03 00:00:00,within an hour,1,1,f,Clinton Hill,3,3,t,t,Clinton Hill,Brooklyn,40.68818,-73.96383,Private room in apartment,Private room,2,1 private bath,1,1,80,2,365,2,2,1125,1125,2,1125,t,27,57,87,362,464,34,3,2010-07-09 00:00:00,2020-08-16 00:00:00,90,10,9,10,10,10,10,t,2,0,2,0,3.75,1,private,3691,3727,40,t,8,0.017241379,4,6,4-6,12549.77,4-6,0.244448073
31,32023,https://www.airbnb.com/rooms/32023,2020-09-08 00:00:00,"Brooklyn, New York, United States",2010-06-03 00:00:00,within a day,0.67,0.98,f,Bedford-Stuyvesant,3,3,t,t,Bedford-Stuyvesant,Brooklyn,40.68296,-73.93662,Entire apartment,Entire home/apt,4,1 bath,2,2,125,3,30,3,3,1125,1125,3,1125,t,0,1,1,97,263,23,0,2010-08-04 00:00:00,2020-03-16 00:00:00,93,10,9,10,10,10,10,t,2,2,0,0,2.14,1,undefined,3512,3574,31.25,t,7,0.02661597,4,7,4-7,19004.67,4-7,0.476812541
32,32037,https://www.airbnb.com/rooms/32037,2020-09-08 00:00:00,"New York, New York, United States",2010-05-01 00:00:00,within a few hours,1,0.67,t,Clinton Hill,4,4,t,t,Clinton Hill,Brooklyn,40.68513,-73.96648,Private room in condominium,Private room,3,1.5 baths,1,2,139,4,730,4,4,730,730,4,730,t,30,60,90,365,92,7,0,2010-08-07 00:00:00,2020-02-09 00:00:00,97,10,10,10,10,10,10,f,3,1,2,0,0.75,1.5,undefined,3473,3571,46.33333333,t,4,0.043478261,4,6,4-6,12549.77,4-6,0.244448073
33,33009,https://www.airbnb.com/rooms/33009,2020-09-08 00:00:00,"New York, New York, United States",2010-06-12 00:00:00,within a few hours,1,0.96,t,Williamsburg,1,1,t,t,Williamsburg,Brooklyn,40.71492,-73.95935,Entire apartment,Entire home/apt,2,1 bath,1,1,195,4,60,4,4,60,60,4,60,t,28,39,64,310,252,10,0,2010-07-05 00:00:00,2020-02-19 00:00:00,99,10,10,10,10,10,10,f,1,1,0,0,2.03,1,undefined,3516,3539,97.5,t,8,0.031746032,5,6,5-6,17175.14,5-6,0.471940997
34,38638,https://www.airbnb.com/rooms/38638,2020-09-08 00:00:00,"San Miguel de Allende, Guanajuato, Mexico",2010-03-14 00:00:00,within an hour,1,1,t,Upper East Side,2,2,t,t,Upper East Side,Manhattan,40.77711,-73.9527,Entire apartment,Entire home/apt,2,1 bath,1,2,152,4,200,4,4,200,200,4,200,t,29,59,89,360,134,8,1,2010-08-05 00:00:00,2020-08-30 00:00:00,95,10,10,10,10,10,9,f,2,2,0,0,1.09,1,undefined,3678,3822,76,f,4,0.029850746,6,6,6-6,25265.89,6-6,0.26869693
35,39267,https://www.airbnb.com/rooms/39267,2020-09-08 00:00:00,"New York, New York, United States",2010-07-16 00:00:00,within a few hours,0.9,0.63,f,Yorkville,2,2,t,t,Upper East Side,Manhattan,40.77456,-73.95323,Entire apartment,Entire home/apt,4,1 bath,1,1,99,1,28,1,1,28,28,1,28,t,22,33,63,293,261,20,0,2012-02-16 00:00:00,2020-03-14 00:00:00,83,8,8,10,10,9,8,f,2,2,0,0,2.5,1,undefined,2949,3529,24.75,t,4,0.01532567,6,6,6-6,25265.89,6-6,0.26869693
36,39704,https://www.airbnb.com/rooms/39704,2020-09-08 00:00:00,"Brooklyn, New York, United States",2010-07-18 00:00:00,,,1,f,Bedford-Stuyvesant,2,2,t,t,Bedford-Stuyvesant,Brooklyn,40.68306,-73.94659,Entire townhouse,Entire home/apt,4,1 bath,1,1,135,2,30,2,2,30,30,2,30,t,0,0,0,0,337,15,0,2010-08-23 00:00:00,2019-12-12 00:00:00,94,10,10,10,10,10,10,f,2,2,0,0,2.75,1,undefined,3398,3434,33.75,t,11,0.03264095,4,7,4-7,19004.67,4-7,0.476812541
37,42882,https://www.airbnb.com/rooms/42882,2020-09-09 00:00:00,"New York, New York, United States",2010-07-30 00:00:00,within a few hours,1,0.88,t,St. George,1,1,t,t,St. George,Staten Island,40.64633,-74.08156,Private room in apartment,Private room,2,1 shared bath,1,1,70,2,730,2,5,730,730,2.1,730,t,6,36,66,341,176,8,0,2011-04-23 00:00:00,2019-12-31 00:00:00,96,10,9,10,10,9,10,f,1,0,1,0,1.54,1,shared,3174,3441,35,t,10,0.056818182,3,4,3-4,7472.51,3-4,0.061751578
38,44161,https://www.airbnb.com/rooms/44161,2020-09-08 00:00:00,"Halcottsville, New York, United States",2010-08-06 00:00:00,within an hour,1,0.98,t,Williamsburg,2,2,t,f,Williamsburg,Brooklyn,40.71045,-73.9677,Entire apartment,Entire home/apt,4,1 bath,2,2,140,2,730,2,2,730,730,2,730,t,0,0,0,250,193,0,0,2010-08-15 00:00:00,2016-07-06 00:00:00,95,10,9,10,10,9,9,f,1,1,0,0,1.57,1,undefined,2152,2161,35,t,11,0.056994819,5,6,5-6,17175.14,5-6,0.471940997
39,44229,https://www.airbnb.com/rooms/44229,2020-09-08 00:00:00,"New York, New York, United States",2010-07-26 00:00:00,a few days or more,0,0.97,t,Fort Greene,2,2,t,t,Fort Greene,Brooklyn,40.69098,-73.97113,Private room in house,Private room,2,1 bath,1,1,110,2,30,2,2,30,30,2,30,t,30,60,90,359,231,11,0,2010-10-02 00:00:00,2020-02-11 00:00:00,94,10,10,10,10,10,10,f,2,0,2,0,1.91,1,undefined,3419,3487,55,t,12,0.051948052,4,6,4-6,12549.77,4-6,0.244448073
40,45556,https://www.airbnb.com/rooms/45556,2020-09-08 00:00:00,"New York, New York, United States",2010-01-04 00:00:00,within an hour,1,1,t,Fort Greene,3,3,t,t,Fort Greene,Brooklyn,40.68834,-73.97578,Private room in apartment,Private room,2,1.5 shared baths,1,1,65,2,31,2,2,31,31,2,31,t,25,55,85,175,251,29,0,2010-09-15 00:00:00,2020-06-26 00:00:00,98,10,10,10,10,10,10,t,2,0,2,0,2.06,1.5,shared,3572,3826,32.5,t,9,0.035856574,4,6,4-6,12549.77,4-6,0.244448073
41,48719,https://www.airbnb.com/rooms/48719,2020-09-08 00:00:00,"New York, New York, United States",2010-09-02 00:00:00,within an hour,1,0.95,t,Lower East Side,2,2,t,t,Lower East Side,Manhattan,40.71882,-73.98852,Entire apartment,Entire home/apt,2,1 bath,1,1,192,30,60,30,30,60,60,30,60,t,4,34,64,64,116,3,0,2010-12-06 00:00:00,2019-10-29 00:00:00,95,10,9,10,10,10,9,f,1,1,0,0,0.98,1,undefined,3249,3344,96,t,4,0.034482759,5,6,5-6,17175.14,5-6,0.471940997
42,50447,https://www.airbnb.com/rooms/50447,2020-09-09 00:00:00,"New York, New York, United States",2009-03-10 00:00:00,within a few hours,1,0.98,t,Park Slope,3,3,t,t,South Slope,Brooklyn,40.6693,-73.98804,Entire apartment,Entire home/apt,3,1 bath,1,2,126,4,180,4,4,180,180,4,180,t,12,42,72,346,171,16,1,2010-11-07 00:00:00,2020-09-02 00:00:00,97,10,10,10,10,10,10,f,3,1,2,0,1.43,1,undefined,3587,4194,42,t,9,0.052631579,4,6,4-6,12549.77,4-6,0.244448073
43,54158,https://www.airbnb.com/rooms/54158,2020-09-08 00:00:00,"New York, New York, United States",2009-03-21 00:00:00,within a few hours,0.8,0.44,f,Williamsburg,2,2,t,t,Williamsburg,Brooklyn,40.7195,-73.95976,Entire apartment,Entire home/apt,5,1 bath,2,2,249,2,1125,2,2,1125,1125,2,1125,t,0,0,0,0,370,1,0,2010-12-20 00:00:00,2019-12-28 00:00:00,94,10,10,10,10,10,10,t,2,2,0,0,3.13,1,undefined,3295,3934,49.8,t,7,0.018918919,5,6,5-6,17175.14,5-6,0.471940997
44,54508,https://www.airbnb.com/rooms/54508,2020-09-09 00:00:00,"New York, New York, United States",2010-08-23 00:00:00,within an hour,1,1,t,Prospect Heights,3,3,t,t,Prospect Heights,Brooklyn,40.6787,-73.97262,Private room in townhouse,Private room,2,1.5 shared baths,1,0,50,2,1125,2,2,1125,1125,2,1125,t,0,0,0,0,100,100,1,2019-12-28 00:00:00,2020-08-15 00:00:00,97,10,8,10,10,10,9,f,3,0,3,0,11.67,1.5,shared,231,3645,25,t,10,0.1,4,6,4-6,12549.77,4-6,0.244448073
45,54860,https://www.airbnb.com/rooms/54860,2020-09-09 00:00:00,"New York, New York, United States",2010-10-10 00:00:00,within an hour,1,1,t,East Harlem,1,1,t,t,East Harlem,Manhattan,40.79958,-73.94275,Private room in apartment,Private room,2,1 private bath,1,1,100,5,21,5,5,1125,1125,5,1125,t,30,60,80,345,228,16,0,2010-10-22 00:00:00,2020-03-20 00:00:00,97,10,10,10,10,9,10,t,1,0,1,0,1.89,1,private,3437,3449,50,t,4,0.01754386,6,7,6-7,20558.47,6-7,0.307233834
46,56525,https://www.airbnb.com/rooms/56525,2020-09-08 00:00:00,"New York, New York, United States",2010-10-21 00:00:00,within a few hours,0.8,0.87,f,Greenpoint,0,0,t,t,Greenpoint,Brooklyn,40.729,-73.95829,Entire apartment,Entire home/apt,2,1 bath,1,1,295,2,1125,2,2,1125,1125,2,1125,t,6,6,6,6,73,2,0,2010-11-01 00:00:00,2019-12-03 00:00:00,98,10,10,10,10,10,10,t,1,1,0,0,0.61,1,undefined,3319,3330,147.5,t,7,0.095890411,5,6,5-6,17175.14,5-6,0.471940997
47,57166,https://www.airbnb.com/rooms/57166,2020-09-09 00:00:00,"New York, New York, United States",2010-10-26 00:00:00,within an hour,1,0.99,t,Ditmars / Steinway,13,13,t,f,Ditmars Steinway,Queens,40.77185,-73.90502,Entire apartment,Entire home/apt,4,1 bath,1,2,119,3,365,3,3,1125,1125,3,1125,t,0,3,3,164,38,17,0,2010-11-15 00:00:00,2020-08-02 00:00:00,93,10,9,10,10,10,9,f,1,1,0,0,0.32,1,undefined,3548,3568,29.75,t,6,0.157894737,6,7,6-7,20558.47,6-7,0.307233834
