,id,listing_url,last_scraped,host_location,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,bathrooms_number,bathrooms_type,listing_duration,hosting_duration,price_per_person,is_local_host,total_unique_reviews,unique_review_rate,lat_name,lng_name,lat_lng_name,covid_case_rate,lat_long_id,total_crime_per_day
152,294227,https://www.airbnb.com/rooms/294227,2020-09-09 00:00:00,"Brooklyn, New York, United States",2011-03-01 00:00:00,within an hour,0.98,0.96,t,Greenpoint,28,28,t,t,Greenpoint,Brooklyn,40.73778,-73.95366,Entire apartment,Entire home/apt,4,1 bath,1,2,160,3,365,3,3,365,365,3,365,t,30,60,90,352,44,1,0,2012-05-18 00:00:00,2019-10-07 00:00:00,97,10,10,10,10,9,10,f,27,17,6,0,0.43,1,undefined,2698,3142,40,t,5,0.113636364,5,6,5-6,17175.14,5-6,0.471940997
153,294259,https://www.airbnb.com/rooms/294259,2020-09-09 00:00:00,"Brooklyn, New York, United States",2011-03-01 00:00:00,within an hour,0.98,0.96,t,Greenpoint,28,28,t,t,Greenpoint,Brooklyn,40.73778,-73.95366,Entire apartment,Entire home/apt,4,1 bath,1,2,160,3,180,3,3,1125,1125,3,1125,t,13,25,55,317,91,15,1,2012-05-15 00:00:00,2020-09-03 00:00:00,98,10,10,10,10,10,10,f,27,17,6,0,0.9,1,undefined,3033,3474,40,t,6,0.065934066,5,6,5-6,17175.14,5-6,0.471940997
154,294263,https://www.airbnb.com/rooms/294263,2020-09-09 00:00:00,"Brooklyn, New York, United States",2011-03-01 00:00:00,within an hour,0.98,0.96,t,Greenpoint,28,28,t,t,Greenpoint,Brooklyn,40.73778,-73.95366,Entire apartment,Entire home/apt,4,1 bath,1,2,160,3,365,3,3,365,365,3,365,t,27,57,87,346,110,16,2,2012-08-14 00:00:00,2020-08-28 00:00:00,97,10,10,10,10,10,10,f,27,17,6,0,1.12,1,undefined,2936,3468,40,t,7,0.063636364,5,6,5-6,17175.14,5-6,0.471940997
155,298759,https://www.airbnb.com/rooms/298759,2020-09-09 00:00:00,"New York, New York, United States",2011-12-27 00:00:00,within an hour,1,1,f,Bedford-Stuyvesant,5,5,t,f,Bedford-Stuyvesant,Brooklyn,40.68622,-73.94675,Private room in apartment,Private room,2,1 shared bath,1,1,55,2,30,2,2,30,30,2,30,t,0,0,0,0,40,39,0,2019-09-08 00:00:00,2020-04-12 00:00:00,95,10,10,10,10,9,8,t,4,0,4,0,3.26,1,shared,217,3029,27.5,t,8,0.2,4,7,4-7,19004.67,4-7,0.476812541
156,302057,https://www.airbnb.com/rooms/302057,2020-09-09 00:00:00,"New York, New York, United States",2012-01-01 00:00:00,within a day,1,1,t,Flatbush,1,1,t,f,Flatbush,Brooklyn,40.64387,-73.96855,Private room in house,Private room,2,1 shared bath,1,1,75,2,1125,2,2,1125,1125,2,1125,t,1,1,1,252,163,4,0,2012-03-06 00:00:00,2020-01-09 00:00:00,97,10,10,10,10,10,10,t,1,0,1,0,1.57,1,shared,2865,2930,37.5,t,11,0.067484663,3,6,3-6,22984.82,3-6,0.172545177
157,318021,https://www.airbnb.com/rooms/318021,2020-09-09 00:00:00,"New York, New York, United States",2012-01-20 00:00:00,within a few hours,1,1,t,Harlem,1,1,t,t,Harlem,Manhattan,40.80343,-73.9531,Private room in apartment,Private room,1,1 shared bath,1,1,110,3,60,3,3,60,60,3,60,t,23,26,56,331,56,8,0,2012-10-11 00:00:00,2020-02-03 00:00:00,99,10,10,10,10,10,10,f,1,0,1,0,0.58,1,shared,2671,2936,110,t,6,0.107142857,7,6,7-6,4113.43,6-6,0.26869693
158,318187,https://www.airbnb.com/rooms/318187,2020-09-08 00:00:00,"New York, New York, United States",2012-01-21 00:00:00,,,0.63,t,Bushwick,1,1,t,t,Bushwick,Brooklyn,40.70462,-73.9228,Entire loft,Entire home/apt,3,1 bath,1,1,120,14,200,14,14,200,200,14,200,t,0,0,7,53,60,11,0,2012-05-09 00:00:00,2020-07-16 00:00:00,96,10,9,10,10,10,10,f,1,1,0,0,0.59,1,undefined,2990,3099,40,t,5,0.083333333,5,7,5-7,6381.48,4-7,0.476812541
159,322037,https://www.airbnb.com/rooms/322037,2020-09-09 00:00:00,"New York, New York, United States",2012-01-24 00:00:00,within a few hours,1,0.77,t,Williamsburg,1,1,t,t,Williamsburg,Brooklyn,40.72091,-73.95814,Entire apartment,Entire home/apt,5,1 bath,1,4,207,2,60,2,2,60,60,2,60,t,0,0,0,0,260,68,13,2018-10-04 00:00:00,2020-09-06 00:00:00,98,10,10,10,10,10,10,f,1,1,0,0,11.03,1,undefined,703,3148,41.4,t,30,0.115384615,5,6,5-6,17175.14,5-6,0.471940997
160,322604,https://www.airbnb.com/rooms/322604,2020-09-08 00:00:00,"New York, New York, United States",2012-01-25 00:00:00,,,1,t,Williamsburg,2,2,t,t,Williamsburg,Brooklyn,40.71819,-73.95414,Private room in loft,Private room,2,1 shared bath,1,1,109,2,120,2,3,120,120,2.1,120,t,30,60,90,90,175,12,0,2012-03-19 00:00:00,2019-12-16 00:00:00,99,10,10,10,10,10,10,f,2,0,2,0,1.7,1,shared,2828,2882,54.5,t,10,0.057142857,5,6,5-6,17175.14,5-6,0.471940997
161,329385,https://www.airbnb.com/rooms/329385,2020-09-09 00:00:00,"New York, New York, United States",2010-12-07 00:00:00,within a day,0.8,1,f,Inwood,1,1,t,t,Inwood,Manhattan,40.86658,-73.92558,Private room in apartment,Private room,2,1 shared bath,1,1,60,10,120,10,10,120,120,10,120,t,0,0,0,0,40,17,0,2018-09-15 00:00:00,2020-03-04 00:00:00,94,9,9,9,10,9,9,f,3,1,2,0,1.65,1,shared,536,3375,30,t,7,0.175,8,7,8-7,12260.75,8-7,0.084449162
162,369409,https://www.airbnb.com/rooms/369409,2020-09-08 00:00:00,"New York, New York, United States",2011-09-21 00:00:00,,,,f,Midtown East,0,0,t,f,Midtown,Manhattan,40.75744,-73.96374,Private room in apartment,Private room,1,1 shared bath,1,1,115,30,90,30,30,90,90,30,90,t,27,57,87,362,218,0,0,2012-04-06 00:00:00,2017-09-15 00:00:00,97,10,10,10,10,10,10,f,1,0,1,0,2.12,1,shared,1988,2186,115,t,4,0.018348624,6,6,6-6,25265.89,5-6,0.471940997
163,373618,https://www.airbnb.com/rooms/373618,2020-09-08 00:00:00,"New York, New York, United States",2012-03-07 00:00:00,,,1,t,Williamsburg,2,2,t,t,Williamsburg,Brooklyn,40.72212,-73.95696,Private room in loft,Private room,2,1 bath,1,1,139,4,14,4,4,14,14,4,14,t,30,60,90,90,68,5,0,2012-04-09 00:00:00,2019-10-16 00:00:00,99,10,10,10,10,10,10,f,2,1,1,0,0.66,1,undefined,2746,2779,69.5,t,5,0.073529412,5,6,5-6,17175.14,5-6,0.471940997
164,374548,https://www.airbnb.com/rooms/374548,2020-09-08 00:00:00,"New York, New York, United States",2012-03-08 00:00:00,,,0.93,t,Bedford-Stuyvesant,2,2,t,t,Bedford-Stuyvesant,Brooklyn,40.68534,-73.93433,Entire apartment,Entire home/apt,2,1 bath,1,1,98,180,365,180,180,365,365,180,365,t,6,19,49,324,293,19,0,2012-04-10 00:00:00,2020-02-21 00:00:00,95,10,10,10,10,9,10,f,2,2,0,0,2.86,1,undefined,2873,2906,49,t,7,0.023890785,4,7,4-7,19004.67,4-7,0.476812541
165,391955,https://www.airbnb.com/rooms/391955,2020-09-09 00:00:00,"New York, New York, United States",2012-03-18 00:00:00,within an hour,1,0.99,f,Columbia Street Waterfront,1,1,t,t,Columbia St,Brooklyn,40.68636,-74.00345,Entire loft,Entire home/apt,4,1 bath,2,2,119,2,65,2,2,1125,1125,2,1125,t,0,14,43,43,150,36,0,2012-05-22 00:00:00,2020-07-26 00:00:00,94,9,9,10,10,9,9,f,1,1,0,0,1.48,1,undefined,2987,3052,29.75,t,5,0.033333333,4,5,4-5,7690.62,4-5,0.021282386
166,392948,https://www.airbnb.com/rooms/392948,2020-09-09 00:00:00,United Kingdom,2010-12-07 00:00:00,,,0.67,f,Williamsburg,6,6,t,t,Williamsburg,Brooklyn,40.70994,-73.96573,Private room in apartment,Private room,1,1 shared bath,1,0,61,29,1125,29,29,1125,1125,29,1125,t,0,0,0,0,20,9,0,2018-07-31 00:00:00,2020-01-05 00:00:00,95,10,9,10,10,10,10,f,5,0,5,0,0.78,1,shared,523,3316,61,f,8,0.4,5,6,5-6,17175.14,5-6,0.471940997
167,393094,https://www.airbnb.com/rooms/393094,2020-09-08 00:00:00,"San Francisco, California, United States",2012-03-19 00:00:00,,,,f,Financial District,1,1,t,t,Financial District,Manhattan,40.70621,-74.01525,Entire apartment,Entire home/apt,2,1 bath,,0,225,4,1124,4,4,1124,1124,4,1124,t,0,0,0,0,31,3,0,2012-04-13 00:00:00,2019-11-11 00:00:00,99,10,10,10,10,10,10,f,1,1,0,0,0.3,1,undefined,2768,2793,112.5,f,5,0.161290323,5,5,5-5,11992.5,5-5,0.076284563
168,397034,https://www.airbnb.com/rooms/397034,2020-09-08 00:00:00,"Manhattan, New York",2010-01-13 00:00:00,,,,f,Upper West Side,1,1,t,t,Upper West Side,Manhattan,40.7824,-73.98294,Private room in apartment,Private room,1,1 bath,1,1,126,1,1125,1,1,1125,1125,1,1125,t,30,60,90,365,25,0,0,2012-04-08 00:00:00,2013-06-22 00:00:00,94,9,10,10,10,10,10,f,1,0,1,0,0.24,1,undefined,440,1256,126,t,6,0.24,6,6,6-6,25265.89,6-6,0.26869693
169,405408,https://www.airbnb.com/rooms/405408,2020-09-08 00:00:00,"New York, New York, United States",2012-03-27 00:00:00,within a few hours,1,0.85,t,Soho,3,3,t,t,SoHo,Manhattan,40.7209,-73.99947,Entire loft,Entire home/apt,2,1 bath,1,1,200,3,365,3,3,365,365,3,365,t,26,38,68,335,151,15,0,2012-05-01 00:00:00,2020-03-09 00:00:00,96,10,10,9,9,10,9,f,1,1,0,0,1.48,1,undefined,2869,2904,100,t,4,0.026490066,5,6,5-6,17175.14,5-6,0.471940997
170,413504,https://www.airbnb.com/rooms/413504,2020-09-08 00:00:00,"New York, New York, United States",2011-10-13 00:00:00,,,1,f,Williamsburg,1,1,t,t,Williamsburg,Brooklyn,40.71348,-73.94447,Private room in apartment,Private room,2,1 private bath,1,1,122,3,1125,3,3,1125,1125,3,1125,t,30,60,90,365,138,1,0,2012-05-06 00:00:00,2020-01-01 00:00:00,98,10,10,10,10,10,10,f,1,0,1,0,1.36,1,private,2796,3002,61,t,5,0.036231884,5,7,5-7,6381.48,5-7,0.131014587
171,424767,https://www.airbnb.com/rooms/424767,2020-09-08 00:00:00,"New York, New York, United States",2012-04-09 00:00:00,within a day,0.83,1,t,Flatiron District,1,1,t,f,Midtown,Manhattan,40.74406,-73.98273,Entire loft,Entire home/apt,4,1 bath,,2,275,2,14,2,2,14,14,2,14,t,30,60,90,270,216,12,0,2012-04-29 00:00:00,2020-06-22 00:00:00,99,10,10,10,10,10,10,f,1,1,0,0,2.12,1,undefined,2976,2996,68.75,t,16,0.074074074,5,6,5-6,17175.14,5-6,0.471940997
172,433914,https://www.airbnb.com/rooms/433914,2020-09-09 00:00:00,"New York, New York, United States",2012-03-12 00:00:00,within a few hours,0.9,0.69,f,East New York,1,1,t,t,East New York,Brooklyn,40.65408,-73.87883,Entire townhouse,Entire home/apt,4,1 bath,1,4,75,4,1125,4,4,1125,1125,4,1125,t,5,35,65,340,55,7,0,2012-05-19 00:00:00,2020-08-04 00:00:00,90,9,8,10,9,8,9,f,1,1,0,0,0.54,1,undefined,2999,3067,18.75,t,4,0.072727273,3,8,3-8,9452.51,3-8,0.037965382
