listing_id,date,comments,type
9576478,2016-09-02 00:00:00,Vitaliy provided very informative directions and instructions on getting into the apartment. The apartment was exactly like it was in the photos. Harlem is a unique neighbourhood in NYC and will give you a different flavour of the city. ,"""unique"" review"
27930717,2018-09-04 00:00:00,"The location of this apartment is great - very close to the subway and it allows you to reach Manhattan quickly. Good restaurants in the neighborhood. Maxime's (Hidden by Airbnb) , who were at home when we stayed, were absolutely fantastic and they made our experience in NYC special.","""unique"" review"
13192097,2019-02-28 00:00:00,A rather cool yet inviting & comfortable place.  We felt like we had our own little nest in the big city!??,"""non-unique"" review"
18803064,2018-11-07 00:00:00,Einfach nur empfehlenswert!!!,"""non-unique"" review"
